event,type,extras,date,calendar_system
English New Year,Religional Festival,first day of Gregorian calendar,2010-01-01,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2010-01-06,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2010-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2010-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2010-01-14,other
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2010-01-20,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2010-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2010-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2010-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2010-02-04,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2010-02-08,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2010-02-12,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2010-02-14,gregorian_fixed
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2010-02-16,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2010-02-19,gregorian_fixed
Eid-e-Milad,Religional Festival,based on Islamic calendar,2010-02-26,islamic
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2010-02-28,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2010-03-01,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2010-03-03,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2010-03-08,gregorian_fixed
Gudi Padwa,Religional Festival,"Chaitra, Shukla Pratipada",2010-03-16,hindu_lunar
