date,city,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,weather_code,daylight_duration,sunshine_duration,shortwave_radiation_sum,et0_fao_evapotranspiration,data_source,temp_range,day_length_hours,sunshine_hours,season_meteo,season_india,is_rainy_day,is_hot_day,is_cold_day,weather_category,year_norm
2024-01-01,New Delhi,28.5,77.25,15.0,8.4,10.6,13.9,6.9,0.0,0.0,0.0,7.6,16.2,334,3,37302.89,34217.02,13.19,1.82,archive_era5,6.6,10.362,9.505,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-02,New Delhi,28.5,77.25,13.5,7.5,9.5,12.2,5.9,0.0,0.0,0.0,8.7,14.8,333,3,37329.12,33582.14,12.23,1.62,archive_era5,6.0,10.369,9.328,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-03,New Delhi,28.5,77.25,14.6,7.2,9.7,14.0,5.6,0.0,0.0,0.0,8.2,15.1,339,3,37357.61,29225.45,10.99,1.49,archive_era5,7.4,10.377,8.118,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-04,New Delhi,28.5,77.25,14.3,8.6,11.4,13.5,7.0,0.0,0.0,0.0,8.8,17.6,326,3,37388.29,35168.95,9.8,1.38,archive_era5,5.7,10.386,9.769,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-05,New Delhi,28.5,77.25,15.1,10.5,12.4,14.6,9.7,0.2,0.2,0.0,7.8,15.8,338,51,37421.14,16361.7,7.06,1.08,archive_era5,4.6,10.395,4.545,Winter,Shishira (Winter),0,0,0,Drizzle,0.7
2024-01-06,New Delhi,28.5,77.25,15.0,10.6,12.6,14.2,9.3,0.0,0.0,0.0,9.4,19.8,8,3,37456.09,36000.0,12.16,1.67,archive_era5,4.4,10.404,10.0,Winter,Shishira (Winter),0,0,0,Clear / Partly Cloudy,0.7
2024-01-07,New Delhi,28.5,77.25,15.9,8.2,11.1,14.7,6.9,0.0,0.0,0.0,8.4,20.9,217,3,37493.09,36000.0,13.84,1.92,archive_era5,7.7,10.415,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-08,New Delhi,28.5,77.25,15.0,7.5,11.0,14.2,5.9,0.0,0.0,0.0,8.3,14.8,344,3,37532.1,36000.0,14.15,1.95,archive_era5,7.5,10.426,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-09,New Delhi,28.5,77.25,15.7,9.3,11.7,14.4,8.0,0.0,0.0,0.0,12.5,24.8,328,3,37573.06,36000.0,13.6,1.8,archive_era5,6.4,10.437,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-10,New Delhi,28.5,77.25,15.5,8.1,10.5,13.2,5.4,0.0,0.0,0.0,13.5,29.5,303,1,37615.93,36000.0,15.2,1.91,archive_era5,7.4,10.449,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-11,New Delhi,28.5,77.25,17.0,7.4,10.7,14.8,5.0,0.0,0.0,0.0,11.7,25.9,307,3,37660.65,36000.0,14.82,2.05,archive_era5,9.6,10.461,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-12,New Delhi,28.5,77.25,17.8,7.0,10.5,15.8,4.8,0.0,0.0,0.0,11.2,25.2,307,0,37707.18,36000.0,15.43,2.16,archive_era5,10.8,10.474,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-13,New Delhi,28.5,77.25,17.7,6.2,10.4,16.5,4.3,0.0,0.0,0.0,10.1,15.1,339,3,37755.48,25388.06,11.12,1.7,archive_era5,11.5,10.488,7.052,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-14,New Delhi,28.5,77.25,17.4,5.5,10.0,16.1,3.7,0.0,0.0,0.0,9.1,21.2,331,3,37806.08,32397.0,14.44,2.03,archive_era5,11.9,10.502,8.999,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-15,New Delhi,28.5,77.25,17.0,5.5,9.4,15.4,3.3,0.0,0.0,0.0,9.0,18.7,336,3,37859.1,35178.8,14.01,1.95,archive_era5,11.5,10.516,9.772,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-16,New Delhi,28.5,77.25,15.7,4.7,9.0,15.0,3.2,0.0,0.0,0.0,8.1,18.0,91,3,37914.43,30319.21,14.66,1.99,archive_era5,11.0,10.532,8.422,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-17,New Delhi,28.5,77.25,16.0,5.4,9.7,14.3,2.8,0.0,0.0,0.0,11.0,26.6,128,3,37971.96,36000.0,15.34,2.01,archive_era5,10.6,10.548,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-18,New Delhi,28.5,77.25,16.1,7.2,10.4,15.2,5.4,0.0,0.0,0.0,10.9,20.2,171,3,38031.59,36000.0,14.59,1.96,archive_era5,8.9,10.564,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-19,New Delhi,28.5,77.25,13.8,6.6,9.4,12.9,5.0,0.0,0.0,0.0,9.4,18.0,162,3,38093.23,33959.88,14.13,1.81,archive_era5,7.2,10.581,9.433,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-20,New Delhi,28.5,77.25,15.3,7.4,10.3,14.6,5.6,0.0,0.0,0.0,8.8,16.9,301,3,38156.76,36000.0,13.81,1.92,archive_era5,7.9,10.599,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-21,New Delhi,28.5,77.25,15.1,6.3,9.7,12.8,4.2,0.0,0.0,0.0,15.5,32.4,314,1,38222.09,36000.0,16.01,1.92,archive_era5,8.8,10.617,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-22,New Delhi,28.5,77.25,14.9,6.9,9.9,14.6,5.0,0.0,0.0,0.0,9.6,13.3,346,3,38289.11,36000.0,15.23,2.12,archive_era5,8.0,10.636,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-23,New Delhi,28.5,77.25,16.7,7.1,10.9,16.5,5.0,0.0,0.0,0.0,10.1,16.2,75,3,38357.73,33927.8,14.58,2.05,archive_era5,9.6,10.655,9.424,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-24,New Delhi,28.5,77.25,17.1,9.0,11.6,16.9,8.0,0.0,0.0,0.0,8.2,15.8,346,2,38427.85,36000.0,14.95,2.1,archive_era5,8.1,10.674,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-25,New Delhi,28.5,77.25,16.9,6.8,10.9,16.9,5.2,0.0,0.0,0.0,9.7,14.0,345,3,38499.37,36000.0,15.25,2.2,archive_era5,10.1,10.694,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-26,New Delhi,28.5,77.25,18.7,7.4,12.0,18.6,5.8,0.0,0.0,0.0,8.4,14.0,308,3,38572.2,36000.0,16.02,2.36,archive_era5,11.3,10.714,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-27,New Delhi,28.5,77.25,22.7,7.3,13.3,19.9,5.3,0.0,0.0,0.0,16.2,32.0,293,2,38646.23,36000.0,16.5,2.95,archive_era5,15.4,10.735,10.0,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
2024-01-28,New Delhi,28.5,77.25,18.3,8.6,12.8,16.9,7.0,0.0,0.0,0.0,11.5,20.9,82,3,38721.39,31238.97,12.55,1.97,archive_era5,9.7,10.756,8.677,Winter,Shishira (Winter),0,0,1,Clear / Partly Cloudy,0.7
